targetid,target_ra,target_dec,z,anomaly_score,spectype,zwarn,peak_residual_wavelength,worst_band,max_snr,median_coadd_snr_b,median_coadd_snr_r,median_coadd_snr_z
39627863950886368,42.103813,3.3198574,0.2588994,15.197404,GALAXY,2,4597.076,B,2.1079776,2.1079776,0.0,0.4748439
39627688557676343,25.834827,-4.052895,1.0350127,9.615297,GALAXY,2,3902.339,Z,0.54801726,0.07207454,0.0,0.54801726
-260095289,97.399734,63.89374,3.2480648,8.405875,QSO,2049,3902.339,B,0.5030229,0.5030229,0.0,-0.09317049
-260091073,96.33825,62.139523,3.2467117,8.277551,QSO,2560,3889.4736,B,0.6089539,0.6089539,0.088307284,0.08374239
-19275275,250.39336,33.6925,3.412926e-05,8.207238,STAR,2560,7603.2,R,172.55444,172.55444,154.32248,0.0
39633049880629906,265.34674,38.443382,3.6794765,7.976654,QSO,2,4867.2515,R,13.078365,3.0420494,13.078365,0.0
-219718485,257.9554,23.158031,0.46836925,7.8254914,GALAXY,5,4172.5146,B,0.5825336,0.5825336,0.0,0.0
-235393123,258.5436,14.268241,-0.00018003982,7.8134313,STAR,2049,4365.497,B,0.5089181,0.096856035,0.5089181,0.0
39627827825349098,48.970356,1.6839321,0.9702605,7.79464,GALAXY,6,3838.0117,Z,2.0359595,0.1383511,0.0,2.0359595
39627859613979079,143.67004,3.0253947,-7.3696315e-06,7.470527,STAR,2,4069.5906,B,0.53991705,0.0015310032,0.53991705,0.0
39637210621808589,19.819773,27.101288,-4.6040022e-05,7.246204,STAR,0,8819.2,Z,9.107599,-0.16976255,1.4460906,9.107599
39633010877796273,220.96112,36.38759,5.2670794,7.2322445,QSO,0,9331.2,Z,22.387217,-0.013176809,1.7262988,22.387217
39627815108215497,10.764724,1.3076634,5.4908418e-05,7.1899247,STAR,2,5587.719,B,0.5737802,-0.009049928,0.5737802,0.0
39627746053195172,214.8091,-1.8368413,4.557627,7.1802278,QSO,2,5188.8887,R,9.8366,0.6068753,9.8366,0.0
-202593518,158.01965,-8.356969,1.3383855,6.997431,GALAXY,5,3863.7427,B,0.6651348,0.6651348,0.0,0.0
-70707178,121.33703,26.67312,0.40100867,6.9552054,QSO,2049,9216.0,B,0.5903589,0.5903589,0.14048137,0.21718308
616093777555096061,209.87805,37.229294,-0.00010134094,6.932942,STAR,1,4391.228,R,0.6077676,0.06828788,0.6077676,0.0
39633516731827038,253.65019,73.47639,4.455971,6.8917813,QSO,2,5278.9473,B,23.356129,1.2801371,0.0,23.356129
39627748016133080,331.97714,-1.7680736,0.73469776,6.6801505,GALAXY,6,9484.8,Z,0.7960988,0.24606882,0.0,0.7960988
-115924235,221.23125,35.497143,5.370331,6.6739745,QSO,2564,3889.4736,B,0.56168574,0.56168574,-0.060667817,-0.12733053
39627580000702657,359.93875,-8.7791195,2.514092,6.660613,QSO,2,8435.2,B,0.5230858,0.49305663,0.0,0.5230858
-13870070,257.21683,18.162268,0.5989663,6.6130247,GALAXY,1,5176.0234,Z,0.9577014,0.18125105,0.0,0.9577014
-228643518,154.95198,77.77901,1.1802081,6.5766077,GALAXY,5,3850.8772,B,0.93979317,0.93979317,0.0,0.0
-240671076,120.51958,53.559437,0.513994,6.517319,GALAXY,2049,3915.2046,R,0.70482534,-0.041949905,0.70482534,0.036654122
-84016333,113.70114,31.995949,1.2857002,6.5154457,GALAXY,2566,5779.241,R,0.5197357,0.0,0.5197357,0.15298349
39628170294461087,220.28612,15.993837,-0.00015059602,6.453563,STAR,2,3863.7427,R,0.6143691,-0.16720328,0.6143691,0.0
39627908125299000,160.14897,5.091321,-0.00016999166,6.4524345,STAR,2,4352.6313,R,0.5160639,0.0057110917,0.5160639,0.0
-236853518,3.2482305,-1.8744692,0.91830266,6.4343495,GALAXY,5,4378.363,B,0.6843398,0.6843398,0.0,0.0
39633305221469827,281.33615,53.763107,6.188018,6.365745,QSO,0,9689.6,Z,1.2152792,-0.028876243,0.07321526,1.2152792
-91622156,173.92113,34.83687,9.6745986e-05,6.3219995,STAR,2049,4339.766,B,0.61832696,-0.0030602312,0.61832696,0.0
-245679458,61.430996,-9.404337,4.295937,6.286079,QSO,1,6433.448,R,0.50850993,-0.0030876803,0.50850993,0.049443815
39628019534399146,10.249133,9.836479,1.6240802,6.2801085,GALAXY,6,3902.339,B,0.56880856,0.00806662,0.56880856,0.0
616088599716167843,136.33374,2.3989475,1.3996594,6.2566633,GALAXY,5,7523.793,R,0.55561024,0.0,0.55561024,0.07155617
39627993412272705,234.80948,8.457547,-4.36757e-05,6.2507114,STAR,2,4378.363,B,0.8257186,0.03612032,0.8257186,0.0
39627766689175779,4.9271092,-0.7794944,4.3579497e-05,6.247483,STAR,2,4121.0527,B,0.8502436,-0.060904868,0.8502436,0.0
-232961149,10.392147,-1.1988109,1.5004187,6.157563,GALAXY,3,3889.4736,B,0.5374063,0.19478735,0.0,0.5374063
39627908125297081,160.05608,4.997771,5.390198,6.154663,QSO,0,6715.6553,Z,8.593711,0.1477073,0.7991985,8.593711
39628241526326839,347.66208,18.922176,5.9085407,6.1546345,QSO,0,7151.793,Z,8.9650955,0.0,0.4431248,8.9650955
39628342709717113,334.78766,23.579153,0.78476316,6.1453404,GALAXY,2,3902.339,Z,0.6500634,0.3279605,0.0,0.6500634
39627811899573396,179.55789,0.98480946,-7.5204975e-05,6.104759,STAR,2,3915.2046,B,0.6830412,0.05825193,0.6830412,0.0
-30721454,291.03262,65.351685,2.7991197,6.0829406,QSO,2560,9484.8,R,0.6561415,-0.054466754,0.6561415,0.100397535
39627913808579562,139.79704,5.262301,1.0729516,6.069708,GALAXY,6,3940.9358,B,0.5108395,0.07881407,0.5108395,0.0
39628251500380284,256.50262,19.572279,0.7716909,6.066571,GALAXY,2,4121.0527,R,0.77564424,0.13675267,0.77564424,0.0
-15800436,185.0829,-2.0791762,0.73750407,5.9645,GALAXY,2049,4030.9941,B,0.51454353,0.05208295,0.0,0.51454353
-218074122,228.41818,28.337706,1.5430942,5.962715,GALAXY,2051,3953.8013,B,0.5064895,0.055747986,0.0,0.5064895
-91627377,176.51859,35.820793,0.00022811853,5.9555287,STAR,2051,3863.7427,B,0.6777897,0.11283708,0.6777897,0.0
39627849346326243,251.74956,2.489007,0.78740036,5.9530554,GALAXY,2,3863.7427,B,0.50389045,-0.26461098,0.50389045,0.0
616093866612752536,247.25673,41.90585,-9.463865e-05,5.950324,STAR,1,4069.5906,B,0.5351742,0.041906513,0.5351742,0.0
-99454122,199.86897,-3.2700949,1.3519166,5.915264,GALAXY,2055,9792.0,B,0.53439116,0.05179791,0.0,0.53439116
39632941889882293,264.6057,32.903587,0.26190135,5.91079,GALAXY,6,3863.7427,B,0.50027514,0.11933041,0.50027514,0.0
616089157453743107,115.53381,26.587656,0.4009751,5.9004807,QSO,1,9177.6,B,0.6038117,0.6038117,0.20521364,0.22746508
39628516236466520,120.77263,31.642832,6.3606534,5.900168,QSO,0,7616.0,Z,0.94970524,0.04686367,0.0,0.94970524
39628402071699654,270.976,26.3008,0.77108544,5.896668,GALAXY,2,4185.38,R,0.8582944,0.24554402,0.8582944,0.0
39628054753971894,342.1329,11.003773,1.0054073,5.881462,GALAXY,6,3979.5322,B,0.6480952,0.06552084,0.6480952,0.0
39627561587705854,329.47595,-9.406287,0.46782592,5.8131967,GALAXY,6,5792.069,B,0.53556144,-0.016079891,0.53556144,0.0
-223721345,322.85294,5.7933183,1.1260113,5.7737417,GALAXY,2566,4159.649,B,0.51348245,0.51348245,0.0,0.17078394
39627753716194528,311.69574,-1.4690813,4.169799,5.772826,QSO,2,7600.759,R,3.0216672,0.38142064,3.0216672,0.0
39627694467456706,18.760761,-3.7727475,-2.6884314e-05,5.7686944,STAR,2,5894.6895,R,0.54406667,0.16463819,0.54406667,0.0
616088888212980541,258.46674,14.547262,-0.00013338194,5.7516427,STAR,1,5587.719,B,0.6379889,0.16796632,0.6379889,0.0
-246947334,186.51949,71.05012,0.070665576,5.730815,GALAXY,5,4352.6313,B,0.69044477,0.69044477,0.0,0.0
